_id,Neighborhood,Sector #,Population (2010),"Total Pop, 25 and older (2010)",Edu. Attainment: Less than High School (2010),Edu. Attainment: High School Graduate (2010),Edu. Attainment: Assoc./Prof. Degree (2010),Edu. Attainment: Bachelor's Degree (2010),Edu. Attainment: Postgraduate Degree (2010),1999 Median Income ('99 Dollars),2009 Median Income ('09 Dollars),1999 Median Income ('11 Dollars),2009 Med. Income ('13 Dollars),Est. Pop. for which Poverty Calc. (2010),Est. Pop. Under Poverty (2010),Est. Percent Under Poverty (2010)
1,Allegheny Center,3,933,609,0.187192118227,0.444991789819,0.172413793103,0.15763546798,0.0377668308703,16964,20911,22535,22792.99000000000160071067512035369873046875,954,324,0.33962264150943399787507814835407771170139312744140625
2,Allegheny West,3,462,239,0.092050209205,0.28870292887,0.0669456066946,0.44769874477,0.10460251046,26638,41761,35385.954373968401341699063777923583984375,45519.490000000005238689482212066650390625,239,12,0.050209205020920001649731290171985165216028690338134765625
3,Allentown,6,2500,1729,0.22961249277,0.633314054367,0.0659340659341,0.0561017929439,0.015037593985,22539,29274,29940.8373614712982089258730411529541015625,31908.66000000000349245965480804443359375,2212,630,0.2848101265822780003844627572107128798961639404296875
4,Arlington,7,1869,1232,0.149350649351,0.653409090909,0.100649350649,0.0714285714286,0.0251623376623,27167,25119,36088.6786724828998558223247528076171875,27379.71000000000276486389338970184326171875,1779,361,0.2029229904440700005263664706944837234914302825927734375
5,Arlington Heights,7,244,166,0.180722891566,0.740963855422,0.0,0.078313253012,0.0,18646,9417,24769.3710209855998982675373554229736328125,10264.530000000000654836185276508331298828125,293,169,0.57679180887371994668200159139814786612987518310546875
6,Banksville,5,4144,3935,0.0980940279543,0.515374841169,0.0975857687421,0.223125794155,0.0658195679797,38555,50625,51216.5129096910022781230509281158447265625,55181.2500000000072759576141834259033203125,4170,243,0.05827338129496399676821027924233931116759777069091796875
7,Bedford Dwellings,15,1202,733,0.0832196452933,0.49931787176,0.128240109141,0.141882673943,0.147339699864,8955,9992,11895.833824569699572748504579067230224609375,10891.280000000000654836185276508331298828125,1203,589,0.4896093100581879742350110973347909748554229736328125
8,Beechview,5,7974,5211,0.109959700633,0.580886586068,0.110919209365,0.136058338131,0.0621761658031,34078.5,36601.5,45269.92439872669638134539127349853515625,39895.6350000000020372681319713592529296875,7450,1366,0.1833557046979870097658249505911953747272491455078125
9,Beltzhoover,6,1925,1369,0.192841490139,0.5434623813,0.138056975895,0.0832724616508,0.0423666910153,26750,33869,35534.7353218580028624273836612701416015625,36917.2099999999991268850862979888916015625,2066,485,0.2347531461761860060999396182523923926055431365966796875
10,Bloomfield,12,8442,6671,0.1124269225,0.426023084995,0.085744266227,0.240743516714,0.135062209564,23831.4000000000014551915228366851806640625,30829.79999999999927240423858165740966796875,31657.663228012199397198855876922607421875,33604.482000000003608874976634979248046875,9192,1781,0.1937554395126200035281982536616851575672626495361328125
11,Bluff,15,6600,2834,0.141143260409,0.738532110092,0.0437544107269,0.0261115031757,0.0504587155963,11515,12795,15296.54120490450077340938150882720947265625,13946.550000000001091393642127513885498046875,1365,1095,0.80219780219780201235835193074308335781097412109375
12,Bon Air,6,808,715,0.215384615385,0.572027972028,0.0811188811189,0.0923076923077,0.0391608391608,40417,37448,53689.9961683564979466609656810760498046875,40818.3199999999997089616954326629638671875,967,106,0.10961737331954500562769538873908459208905696868896484375
13,Brighton Heights,2,7247,5597,0.0991602644274,0.515812042165,0.131141683044,0.180096480257,0.0737895301054,34466.333333333299378864467144012451171875,39694.333333333299378864467144012451171875,45785.1227108386010513640940189361572265625,43266.8233333332973415963351726531982421875,8366,1780,0.2127659574468080128095692771239555440843105316162109375
14,Brookline,5,13214,10716,0.089492347891,0.575214632325,0.113568495707,0.16209406495,0.0596304591265,38095.5,45691.25,50606.1125029473987524397671222686767578125,49803.4625000000014551915228366851806640625,14454,1692,0.11706102117060999956432709723230800591409206390380859375
15,California-Kirkbride,3,761,416,0.0889423076923,0.723557692308,0.0240384615385,0.163461538462,0.0,23750,26351,31549.53136052810077671892940998077392578125,28722.5900000000037834979593753814697265625,912,572,0.627192982456139969116293286788277328014373779296875
16,Carrick,5,10113,7615,0.166119500985,0.587261982928,0.101772816809,0.101116217991,0.0437294812869,29720.666666666700621135532855987548828125,37562.666666666700621135532855987548828125,39480.97284445489640347659587860107421875,40943.3066666667073150165379047393798828125,10435,1546,0.1481552467656920002436748973195790313184261322021484375
17,Central Business District,16,3629,2163,0.108645399908,0.449375866852,0.0943134535368,0.160887656033,0.186777623671,20500,37475,27232.227069087399286217987537384033203125,40847.75,2405,692,0.287733887733888027415929400376626290380954742431640625
18,Central Lawrenceville,13,4482,3821,0.166971996859,0.554305155718,0.0777283433656,0.161737764983,0.0392567390735,21850.5,31816,29026.2330523460987024009227752685546875,34679.4400000000023283064365386962890625,4561,1001,0.2194694146020610137082229584848391823470592498779296875
19,Central Northside,3,2923,2248,0.119217081851,0.462633451957,0.0800711743772,0.251779359431,0.0862989323843,23920,33003.5,31775.35958500350170652382075786590576171875,35973.8150000000023283064365386962890625,2824,694,0.2457507082152969868360514738014899194240570068359375
20,Central Oakland,14,6086,1075,0.236279069767,0.395348837209,0.0344186046512,0.148837209302,0.18511627907,14887.5,16717,19776.57465809950008406303822994232177734375,18221.53000000000247382558882236480712890625,4472,2897,0.64780858676207497826027292830985970795154571533203125
21,Chartiers City,4,477,330,0.157575757576,0.469696969697,0.19696969697,0.106060606061,0.069696969697,31806,40125,42251.132398019297397695481777191162109375,43736.25,418,22,0.0526315789473680017973578060264117084443569183349609375
22,Chateau,3,11,0,N/A,N/A,N/A,N/A,N/A,7440,0,9883.305824098080847761593759059906005859375,0,92,92,1
23,Crafton Heights,4,3814,2731,0.175393628707,0.627608934456,0.0959355547419,0.094470889784,0.00659099231051,35625,39288,47324.297040792196639813482761383056640625,42823.9200000000055297277867794036865234375,3837,630,0.164190774042219989059532281316933222115039825439453125
24,Crawford-Roberts,15,2256,1312,0.275914634146,0.459603658537,0.0594512195122,0.137195121951,0.0678353658537,13449,14932,17865.66935864180049975402653217315673828125,16275.88000000000101863406598567962646484375,2048,988,0.482421875
25,Duquesne Heights,6,2425,1887,0.084790673026,0.482776894542,0.0789613142554,0.220455749868,0.133015368309,42708,44160,56733.363593492002109996974468231201171875,48134.4000000000014551915228366851806640625,2320,331,0.1426724137931029978698660443114931695163249969482421875
26,East Allegheny,3,2136,1892,0.173890063425,0.511099365751,0.116807610994,0.135835095137,0.0623678646934,17267,28172,22937.50560009430046193301677703857421875,30707.4800000000032014213502407073974609375,2425,538,0.2218556701030930111695482764844200573861598968505859375
27,East Carnegie,4,570,204,0.0980392156863,0.799019607843,0.0490196078431,0.0,0.0539215686275,26429,40750,35108.31849799570045433938503265380859375,44417.5,255,32,0.1254901960784310099850102915297611616551876068115234375
28,East Hills,11,3169,1532,0.114229765013,0.64817232376,0.112924281984,0.113577023499,0.0110966057441,17159,21658,22794.03825748640156234614551067352294921875,23607.22000000000116415321826934814453125,2588,1073,0.41460587326120601492362993667484261095523834228515625
29,East Liberty,12,5869,4176,0.153735632184,0.490181992337,0.0907567049808,0.165469348659,0.0998563218391,18778,22958,24944.71999528410015045665204524993896484375,25024.22000000000116415321826934814453125,6137,2030,0.330780511650643982424213618287467397749423980712890625
30,Elliott,4,2381,1481,0.231600270088,0.476704929102,0.190411883862,0.0945307224848,0.0067521944632,29954,26042,39790.933152558296569623053073883056640625,28385.78000000000247382558882236480712890625,2268,445,0.1962081128747799885214675441602594219148159027099609375
31,Esplen,4,301,174,0.344827586207,0.540229885057,0.051724137931,0.0,0.0632183908046,28000,13618,37195.2369724121017497964203357696533203125,14843.620000000000800355337560176849365234375,262,159,0.60687022900763398780554780387319624423980712890625
32,Fairywood,4,1002,233,0.145922746781,0.515021459227,0.175965665236,0.163090128755,0.0,11222,34438,14907.31961801460056449286639690399169921875,37537.4200000000055297277867794036865234375,400,150,0.375
33,Fineview,3,1285,986,0.160243407708,0.668356997972,0.0993914807302,0.0365111561866,0.0354969574037,17535,29643,23293.5171539731018128804862499237060546875,32310.8700000000026193447411060333251953125,1415,473,0.33427561837455799231832997975288890302181243896484375
34,Friendship,12,1785,1091,0.044912923923,0.282309807516,0.0742438130156,0.30522456462,0.293308890926,22358,22107,29700.3967224711013841442763805389404296875,24096.63000000000101863406598567962646484375,1596,334,0.209273182957393000247492409471306018531322479248046875
35,Garfield,12,3675,2424,0.189768976898,0.545792079208,0.104785478548,0.100247524752,0.0594059405941,20298.333333333299378864467144012451171875,20936.666666666700621135532855987548828125,26964.33280279799873824231326580047607421875,22820.96666666670353151857852935791015625,4166,1852,0.444551128180509014242716148146428167819976806640625
36,Glen Hazel,9,716,558,0.410394265233,0.340501792115,0.155913978495,0.0931899641577,0.0,9315,12833,12374.058299929200074984692037105560302734375,13987.97000000000116415321826934814453125,526,200,0.380228136882128975315708885318599641323089599609375
37,Greenfield,9,7294,5823,0.0712691052722,0.427614631633,0.105443929246,0.223080886141,0.172591447707,35613,43579.5,47308.3562249469032394699752330780029296875,47501.6550000000061118043959140777587890625,7860,725,0.092239185750635999117008623215951956808567047119140625
38,Hays,8,362,335,0.567164179104,0.265671641791,0.101492537313,0.065671641791,0.0,23125,29833,30719.2805352510986267589032649993896484375,32517.97000000000116415321826934814453125,545,161,0.2954128440366969865493729230365715920925140380859375
39,Hazelwood,9,4317,2870,0.162369337979,0.610801393728,0.0693379790941,0.0836236933798,0.0738675958188,24612.5,31067,32695.2774994104984216392040252685546875,33863.0300000000061118043959140777587890625,4082,1059,0.25943165115139599219418187203700654208660125732421875
40,Highland Park,12,6395,5041,0.0660583217616,0.255306486808,0.121404483237,0.23923824638,0.317992461813,42711,61454.5,56737.3487974534000386483967304229736328125,66985.40499999999883584678173065185546875,6782,621,0.09156590976113200552877202653689892031252384185791015625
41,Homewood North,11,3280,2102,0.157944814462,0.688392007612,0.058039961941,0.0884871550904,0.00713606089439,19228.5,21158,25543.16479014380092849023640155792236328125,23062.22000000000116415321826934814453125,3570,1988,0.5568627450980390136692221858538687229156494140625
42,Homewood South,11,2344,1537,0.23096942095,0.58425504229,0.0741704619388,0.0787247885491,0.031880286272,16724,20189.5,22216.1836830936008482240140438079833984375,22006.5550000000002910383045673370361328125,2114,675,0.31929990539262098625528096818015910685062408447265625
43,Homewood West,11,818,608,0.268092105263,0.536184210526,0.110197368421,0.0756578947368,0.00986842105263,20658,14423,27442.1144777174995397217571735382080078125,15721.070000000001527951098978519439697265625,918,338,0.3681917211328979977480457819183357059955596923828125
44,Knoxville,6,3747,2379,0.221101303069,0.602353930223,0.0323665405633,0.110970996217,0.0332072299285,26488,27893,35186.6941759019027813337743282318115234375,30403.3700000000026193447411060333251953125,3947,1130,0.286293387382822006603788622669526375830173492431640625
45,Larimer,12,1728,1205,0.170954356846,0.638174273859,0.107053941909,0.0630705394191,0.0207468879668,18478,26664.5,24546.1995991510993917472660541534423828125,29064.30500000000392901711165904998779296875,1544,333,0.2156735751295340008937273523770272731781005859375
46,Lincoln Place,8,3227,2554,0.103367267032,0.663273296789,0.0837901331245,0.11433046202,0.0352388410337,38889,41188,51660.198950719102867878973484039306640625,44894.9200000000055297277867794036865234375,3584,129,0.035993303571428998666181797716490109451115131378173828125
47,Lincoln-Lemington-Belmar,11,4883,2897,0.154297549189,0.596479116327,0.127718329306,0.0852606144287,0.0362443907491,23403.333333333299378864467144012451171875,29564.333333333299378864467144012451171875,31089.0189027745000203140079975128173828125,32225.1233333333002519793808460235595703125,4896,1490,0.304330065359476986674991394465905614197254180908203125
48,Lower Lawrenceville,13,2341,1908,0.170859538784,0.48322851153,0.0765199161426,0.172955974843,0.0964360587002,20547,22311,27294.6619311483009369112551212310791015625,24318.99000000000160071067512035369873046875,2606,1008,0.386799693016116996613362744028563611209392547607421875
49,Manchester,3,2130,1315,0.12927756654,0.61825095057,0.122433460076,0.0692015209125,0.0608365019011,24055,32418,31954.69376326330166193656623363494873046875,35335.6200000000026193447411060333251953125,2068,391,0.18907156673114100531307713026762939989566802978515625
50,Marshall-Shadeland,2,6043,3401,0.246692149368,0.574830932079,0.0614525139665,0.082328726845,0.0346956777418,29021,32608,38551.5347205846992437727749347686767578125,35542.72000000000116415321826934814453125,4478,1265,0.282492184010719016296064864945947192609310150146484375
51,Middle Hill,15,1707,1252,0.0990415335463,0.694888178914,0.0790734824281,0.0670926517572,0.0599041533546,21633,22957,28737.3057651497001643292605876922607421875,25023.13000000000101863406598567962646484375,1623,429,0.2643253234750460034518937391112558543682098388671875
52,Morningside,12,3346,2772,0.150072150072,0.428932178932,0.124458874459,0.215367965368,0.0811688311688,35980,41490,47795.879509549602516926825046539306640625,45224.10000000000582076609134674072265625,3682,193,0.052417164584464999432800169643087428994476795196533203125
53,Mount Washington,6,8799,6936,0.109429065744,0.521482122261,0.103373702422,0.168252595156,0.0974625144175,28295,43320.5,37587.1153619429023819975554943084716796875,47219.34500000000116415321826934814453125,9516,1926,0.2023959646910470089320455144843435846269130706787109375
54,Mt. Oliver,7,509,355,0.225352112676,0.687323943662,0.0281690140845,0.0,0.0591549295775,31831.75,38505,42285.33873202069662511348724365234375,41970.4500000000043655745685100555419921875,552,201,0.36413043478260898044851501254015602171421051025390625
55,New Homestead,8,990,923,0.100758396533,0.630552546046,0.109425785482,0.130010834236,0.0292524377031,42019,83167,55818.0950837065975065343081951141357421875,90652.030000000013387762010097503662109375,1360,115,0.08455882352941200552631784148616134189069271087646484375
56,North Oakland,14,10551,3050,0.0429508196721,0.230819672131,0.152786885246,0.274098360656,0.299344262295,41531.666666666700621135532855987548828125,50003.666666666700621135532855987548828125,55170.7208402105970890261232852935791015625,54503.9966666667096433229744434356689453125,5077,1989,0.39176679141225101421497356568579562008380889892578125
57,North Shore,16,303,196,0.0561224489796,0.362244897959,0.239795918367,0.0561224489796,0.285714285714,70125,82650,93154.14259608570137061178684234619140625,90088.5,229,0,0
58,Northview Heights,1,1214,578,0.249134948097,0.645328719723,0.10553633218,0.0,0.0,9256,12933,12295.682622023099611396901309490203857421875,14096.97000000000116415321826934814453125,1436,834,0.58077994428969403895024470330099575221538543701171875
59,Oakwood,4,1027,764,0.160994764398,0.543193717277,0.111256544503,0.0628272251309,0.121727748691,29716,34345,39474.773638292797841131687164306640625,37436.050000000002910383045673370361328125,1106,137,0.12386980108499100194929809504174045287072658538818359375
60,Overbrook,5,3644,2745,0.0659380692168,0.657559198543,0.135519125683,0.112204007286,0.0287795992714,37981,42244,50454.010551756597124040126800537109375,46045.960000000006402842700481414794921875,3815,445,0.11664482306684099965909950924469740130007266998291015625
61,Perry North,2,4050,3073,0.113895216401,0.543442889684,0.113244386593,0.166937845753,0.0624796615685,42705,46249.5,56729.378389530698768794536590576171875,50411.955000000001746229827404022216796875,4273,621,0.1453311490755909984873284201967180706560611724853515625
62,Perry South,2,4145,2620,0.154198473282,0.635496183206,0.0530534351145,0.124045801527,0.0332061068702,25910,29796.5,34418.8782126856021932326257228851318359375,32478.18500000000130967237055301666259765625,3828,1418,0.370428422152559999602772222715429961681365966796875
63,Point Breeze,10,5315,4322,0.0502082369273,0.231605738084,0.133965756594,0.259139287367,0.325080981027,71547.5,87802,95043.7934744163067080080509185791015625,95704.180000000007566995918750762939453125,5801,264,0.045509394931907996839637320363181061111390590667724609375
64,Point Breeze North,11,2054,1288,0.0683229813665,0.350155279503,0.0846273291925,0.282608695652,0.214285714286,35417,35041,47047.9895661400005337782204151153564453125,38194.6900000000023283064365386962890625,1652,331,0.2003631961259079996562348924271645955741405487060546875
65,Polish Hill,13,1274,1210,0.15867768595,0.454545454545,0.160330578512,0.182644628099,0.0438016528926,19353,30972,25708.55075453899917192757129669189453125,33759.4800000000032014213502407073974609375,1393,103,0.07394113424264199541102726698227343149483203887939453125
66,Regent Square,10,928,909,0.039603960396,0.240924092409,0.0693069306931,0.210121012101,0.4400440044,54450,77647,72331.45189813719480298459529876708984375,84635.23000000001047737896442413330078125,1098,12,0.0109289617486339994678612441703080548904836177825927734375
67,Ridgemont,4,483,444,0.0968468468468,0.673423423423,0.0518018018018,0.153153153153,0.0247747747748,32292,56250,42896.73543975470238365232944488525390625,61312.5000000000072759576141834259033203125,465,39,0.0838709677419360033479023286417941562831401824951171875
68,Shadyside,12,13915,10234,0.0416259527067,0.15683017393,0.180281414892,0.323431698261,0.297830760211,35708.5999999999985448084771633148193359375,45314.800000000002910383045673370361328125,47435.3513911812988226301968097686767578125,49393.1320000000050640664994716644287109375,13757,2656,0.1930653485498290133914878197174402885138988494873046875
69,Sheraden,4,5299,3624,0.189017660044,0.592991169978,0.112582781457,0.0670529801324,0.0383554083885,34501.5,31064,45831.8381572742000571452081203460693359375,33859.7600000000020372681319713592529296875,5558,1481,0.266462756387190025098021806115866638720035552978515625
70,South Oakland,14,2969,1423,0.124385101897,0.487702037948,0.137034434294,0.138439915671,0.11243851019,24190,26327,32134.0279415231998427771031856536865234375,28696.4300000000002910383045673370361328125,2618,988,0.377387318563788987102469718593056313693523406982421875
71,South Shore,16,19,21,0.0,0.52380952381,0.0,0.0,0.47619047619,12188,150250,16190.5552935628002160228788852691650390625,163772.5,38,0,0
72,South Side Flats,7,6597,4973,0.0969233862859,0.382867484416,0.108988538106,0.275688719083,0.135531872109,24700,40564.5,32811.512614949300768785178661346435546875,44215.3050000000002910383045673370361328125,6741,1385,0.20545913069277599305451076361350715160369873046875
73,South Side Slopes,7,4423,3394,0.201237477902,0.430170889806,0.0707130229817,0.215674720094,0.0822038892163,30379.5,37944,40356.1679144068984896875917911529541015625,41358.960000000006402842700481414794921875,4709,931,0.1977065194308769979780748826669878326356410980224609375
74,Spring Garden,1,884,1085,0.236866359447,0.668202764977,0.0239631336406,0.0562211981567,0.0147465437788,30050,38418,39918.4596793208984308876097202301025390625,41875.6200000000026193447411060333251953125,1366,189,0.13836017569546099625910073882550932466983795166015625
75,Spring Hill-City View,1,2648,1900,0.193157894737,0.586842105263,0.0726315789474,0.0989473684211,0.0484210526316,20926,21875,27798.12603159630089066922664642333984375,23843.75,2576,869,0.33734472049689401274008559994399547576904296875
76,Squirrel Hill North,10,11363,6207,0.0182052521347,0.140647655872,0.17351377477,0.266795553407,0.400837763815,64740,83861.333333333299378864467144012451171875,86000.70148549860459752380847930908203125,91408.85333333330345340073108673095703125,9009,797,0.088467088467088006442651249017217196524143218994140625
77,Squirrel Hill South,10,15110,11137,0.0475891173566,0.213073538655,0.145640657269,0.273502738619,0.320193948101,40326.666666666700621135532855987548828125,54473.333333333299378864467144012451171875,53569.9972490763975656591355800628662109375,59375.9333333332979236729443073272705078125,14692,1721,0.117138578818405003634239847087883390486240386962890625
78,St. Clair,7,209,477,0.188679245283,0.691823899371,0.0733752620545,0.0461215932914,0.0,15395,28304,20450.738328224499127827584743499755859375,30851.360000000000582076609134674072265625,1064,467,0.43890977443609002772717531115631572902202606201171875
79,Stanton Heights,13,4601,3440,0.100290697674,0.464534883721,0.0808139534884,0.218895348837,0.135465116279,44054,48948.5,58521.3917708087028586305677890777587890625,53353.865000000005238689482212066650390625,4612,196,0.042497831743278001448427261266260757111012935638427734375
80,Strip District,13,616,443,0.0835214446953,0.273137697517,0.124153498871,0.334085778781,0.185101580135,41719,64868,55419.5746875736003858037292957305908203125,70706.120000000009895302355289459228515625,469,10,0.0213219616204689994820586917967375484295189380645751953125
81,Summer Hill,1,1051,945,0.0380952380952,0.700529100529,0.113227513228,0.138624338624,0.00952380952381,39018,39034,51831.5627210563034168444573879241943359375,42547.0600000000049476511776447296142578125,1213,96,0.07914262159934000451233515605053980834782123565673828125
82,Swisshelm Park,10,1361,1110,0.0855855855856,0.385585585586,0.148648648649,0.262162162162,0.118018018018,53456,72500,71011.020985616502002812922000885009765625,79025,1404,30,0.02136752136752100017513811280878144316375255584716796875
83,Terrace Village,15,3228,1368,0.260964912281,0.531432748538,0.0884502923977,0.0402046783626,0.0789473684211,7229.5,10856.5,9603.677346144759212620556354522705078125,11833.585000000000945874489843845367431640625,2293,1060,0.46227649367640599731288375551230274140834808349609375
84,Troy Hill,1,2714,1944,0.12037037037,0.591563786008,0.106995884774,0.126543209877,0.0545267489712,28137,37057,37377.227953312802128493785858154296875,40392.130000000004656612873077392578125,2619,584,0.2229858724704089911750060082340496592223644256591796875
85,Upper Hill,15,2057,1299,0.101616628176,0.55350269438,0.107775211701,0.127020785219,0.110084680523,28274,32000,37559.21893421359709464013576507568359375,34880,1799,421,0.2340188993885490009727590177135425619781017303466796875
